starttime	seconds	ctime	dtime	ttime	wait
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	1	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	2	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	2	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	2	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	2	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	2	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	2	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	2	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	2	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	2	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	2	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	2	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	2	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	2	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	2	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	2	1
Sat Oct 21 13:07:42 2023	1697886462	0	2	2	1
Sat Oct 21 13:07:42 2023	1697886462	0	2	2	1
Sat Oct 21 13:07:42 2023	1697886462	0	1	2	1
Sat Oct 21 13:07:42 2023	1697886462	0	2	2	2
Sat Oct 21 13:07:42 2023	1697886462	0	2	2	1
Sat Oct 21 13:07:42 2023	1697886462	0	2	2	2
Sat Oct 21 13:07:42 2023	1697886462	0	2	2	2
Sat Oct 21 13:07:42 2023	1697886462	0	2	2	2
Sat Oct 21 13:07:42 2023	1697886462	0	2	2	1
Sat Oct 21 13:07:42 2023	1697886462	0	2	3	2
Sat Oct 21 13:07:42 2023	1697886462	0	2	3	2
Sat Oct 21 13:07:42 2023	1697886462	0	3	3	3
Sat Oct 21 13:07:42 2023	1697886462	0	3	3	3
Sat Oct 21 13:07:42 2023	1697886462	0	3	3	3
Sat Oct 21 13:07:42 2023	1697886462	0	3	3	3
Sat Oct 21 13:07:42 2023	1697886462	0	3	3	3
Sat Oct 21 13:07:42 2023	1697886462	0	3	3	3
Sat Oct 21 13:07:42 2023	1697886462	0	3	4	3
Sat Oct 21 13:07:42 2023	1697886462	0	4	4	4
Sat Oct 21 13:07:42 2023	1697886462	0	4	4	3
Sat Oct 21 13:07:42 2023	1697886462	0	5	5	4
Sat Oct 21 13:07:42 2023	1697886462	0	5	5	4
Sat Oct 21 13:07:42 2023	1697886462	0	5	5	5
Sat Oct 21 13:07:42 2023	1697886462	0	5	5	5
Sat Oct 21 13:07:42 2023	1697886462	0	5	6	5
Sat Oct 21 13:07:42 2023	1697886462	0	6	6	5
Sat Oct 21 13:07:42 2023	1697886462	0	6	6	6
